Position,Company,Location
Senior Scientist - IVD/CDx Assay Development (ADX-67-18),"ArcherDX, INC.","Boulder, CO 80301"
"Senior Scientist - Analytical, Formulation & Stability",KBI Biopharma,"Boulder, CO"
Staff Software Engineer - R&D,Tendril,"Boulder, CO"
Detector Test Associate Engineer (664222),Ball Aerospace,"Boulder, CO"
Engineering Assistant II (664051),Ball Aerospace,"Boulder, CO"
Engineer I - Cryogenics (663676),Ball Aerospace,"Boulder, CO"
Embedded Software Engineer I (664188),Ball Aerospace,"Boulder, CO"
Sr Deep Learning Software Engineer,NVIDIA,"Boulder, CO 80302"
SEM / Metallurgical Lab Engineer I (663349),Ball Aerospace,"Boulder, CO"
Associate Engineer-Systems Test (663860),Ball Aerospace,"Boulder, CO"
Engineer Associate-Mechanical (663696),Ball Aerospace,"Boulder, CO"
Engineer I - Detector Engineering (663760),Ball Aerospace,"Boulder, CO"
Engineer I-Software Quality Assurance (663959),Ball Aerospace,"Boulder, CO"
Associate Engineer - Embedded Software (664075),Ball Aerospace,"Boulder, CO"
Algorithm & Analysis Software Engineer II (664172),Ball Aerospace,"Boulder, CO"
Supplier Quality Assurance Engineer I (663736),Ball Aerospace,"Boulder, CO"
Project Engineer I-Manufacturing (663880),Ball Aerospace,"Boulder, CO"
Industrial Engineer I (663367),Ball Aerospace,"Boulder, CO"
Project Engineer I - Mechanical (664132),Ball Aerospace,"Boulder, CO"
Engineer II-Metrology (663033),Ball Aerospace,"Boulder, CO"
"Telemetry, Tracking, and Command / Communications Project Engineer I (662483)",Ball Aerospace,"Boulder, CO"
Spacecraft Communications Subsystem Engineer I (663460),Ball Aerospace,"Boulder, CO"
Lead Software Engineer,University of Colorado,"Boulder, CO"
Engineer I-Mission Systems Analyst (663514),Ball Aerospace,"Boulder, CO"
Engineer II - Space Systems (664072),Ball Aerospace,"Boulder, CO"
Engineer II-Thermal (664197) Security Clearance Required,Ball Aerospace,"Boulder, CO"
Engineer II-Manufacturing (663430),Ball Aerospace,"Boulder, CO"
Engineering Aide III - Mission & Process Analytics (662883),Ball Aerospace,"Boulder, CO"
Structural Engineer II (663566),Ball Aerospace,"Boulder, CO"
Embedded Software Engineer II - LabVIEW (663924),Ball Aerospace,"Boulder, CO"
Engineer I - Configuration Management (663742),Ball Aerospace,"Boulder, CO"
Information Systems Security Engineer (663060),Ball Aerospace,"Boulder, CO"
Space Telescope Operations Senior Engineer (664143),Ball Aerospace,"Boulder, CO"
Engineer II-Systems Test (663486),Ball Aerospace,"Boulder, CO"
Senior Engineer - Electro-Optical Payload Systems (664057),Ball Aerospace,"Boulder, CO"
Senior Electrical Instrument Systems Engineer (660634),Ball Aerospace,"Boulder, CO"
Principal Engineer-Electro-Optical Payload Systems (664094),Ball Aerospace,"Boulder, CO"
Engineer I-Mission Systems Engineer (Systems Operability) (659949) - Security clearance required,Ball Aerospace,"Boulder, CO"
Spacecraft Requirements & Verification Systems-Senior Engineer (664045),Ball Aerospace,"Boulder, CO"
Senior Engineer-Mission System Integration (664159),Ball Aerospace,"Boulder, CO"
Engineer II-DOORS Administrator (662456) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Engineer-System Allocation and Verification (662816),Ball Aerospace,"Boulder, CO"
Mechanical Engineering Manager II-Process & Tools (663725),Ball Aerospace,"Boulder, CO"
Spacecraft Engineering Manager II - Business Development Lead (662729),Ball Aerospace,"Boulder, CO"
Senior Embedded Software Engineer - LabVIEW (664117),Ball Aerospace,"Boulder, CO"
Sr. Satellite Ground Software Engineer (663828),Ball Aerospace,"Boulder, CO"
Detector Engineering Systems Engineer (663687),Ball Aerospace,"Boulder, CO"
Systems Assurance Reliability Engineer II (661099),Ball Aerospace,"Boulder, CO"
Optical Engineer II (663865),Ball Aerospace,"Boulder, CO"
Engineer I-Systems Test: Attitude Determination & Control Systems (663459),Ball Aerospace,"Boulder, CO"
Principal Engineer-Space Systems (662730),Ball Aerospace,"Boulder, CO"
Project Engineer II - Mission Assurance Manager (662667),Ball Aerospace,"Boulder, CO"
Engineer II-System Allocation & Verification (663537),Ball Aerospace,"Boulder, CO"
Sr. Engineer - Detector Engineering (663761),Ball Aerospace,"Boulder, CO"
Systems Assurance Parts Engineer II (661777),Ball Aerospace,"Boulder, CO"
Senior Engineer - Space Systems (660320),Ball Aerospace,"Boulder, CO"
Senior Embedded Software Engineer (664186),Ball Aerospace,"Boulder, CO"
Engineering Aide I-Systems Integration & Test Engineering (664232),Ball Aerospace,"Boulder, CO"
Engineer II - Electromagnetic Compliance Engineer (663783),Ball Aerospace,"Boulder, CO"
Principal Engineer-Systems Test (663690),Ball Aerospace,"Boulder, CO"
Principal Engineer-Space Systems Simulators (663330),Ball Aerospace,"Boulder, CO"
Engineer Senior-Software Quality Assurance (663353),Ball Aerospace,"Boulder, CO"
Senior Algorithm & Analysis Software Engineer (663685),Ball Aerospace,"Boulder, CO"
Satellite Ground Software Engineer II (663854) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Engineer I-Mission Systems Analyst (662222) - Security clearance required,Ball Aerospace,"Boulder, CO"
Engineer Senior-Manufacturing (663882),Ball Aerospace,"Boulder, CO"
Electrical Engineer II-Spacecraft Command & Data Handling (663671) - Security clearance required,Ball Aerospace,"Boulder, CO"
Sr. Optical Engineer (664163),Ball Aerospace,"Boulder, CO"
Senior Engineer-Spacecraft Lead (664006),Ball Aerospace,"Boulder, CO"
Senior Engineer-Space Systems Simulators (663331),Ball Aerospace,"Boulder, CO"
Senior Structural Engineer (663564),Ball Aerospace,"Boulder, CO"
Principal Engineer-Space Vehicle Lead (663998),Ball Aerospace,"Boulder, CO"
Principal Systems Assurance Reliability Engineer (661774),Ball Aerospace,"Boulder, CO"
Principal Systems Assurance Parts Engineer (661776),Ball Aerospace,"Boulder, CO"
Principal Systems Assurance Radiation Effects Engineer (661768),Ball Aerospace,"Boulder, CO"
Engineer II-Instrument Systems Engineer (663131),Ball Aerospace,"Boulder, CO"
Principal Embedded Software Engineer - LabVIEW (664114) Security Clearance Required,Ball Aerospace,"Boulder, CO"
"Project Engineer II-Mechanical, New Business Lead (663390)",Ball Aerospace,"Boulder, CO"
Detector Engineering Systems Engineer (663686) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Telemetry Tracking & Command/Communications Project Engineer II (662650) - Security clearance requir,Ball Aerospace,"Boulder, CO"
Spacecraft Systems Engineer II (662929) - Security clearance required,Ball Aerospace,"Boulder, CO"
"Telemetry, Tracking & Command/Command & Data Handling Subsystem Senior Engineer (662726) - Security",Ball Aerospace,"Boulder, CO"
Principal Engineer-Mission System Integration (664158),Ball Aerospace,"Boulder, CO"
Spacecraft Requirements & Verification Systems-Principal Engineer (664043),Ball Aerospace,"Boulder, CO"
Senior System Safety Engineer (663665),Ball Aerospace,"Boulder, CO"
Senior Electrical Engineer-Spacecraft Command & Data Handling (663675) - Security clearance required,Ball Aerospace,"Boulder, CO"
Electrical Engineer II - Analog and Power Supply Design (662638),Ball Aerospace,"Boulder, CO"
Senior Spacecraft Structures Design Engineer (661398) - Current Security Clearance Required,Ball Aerospace,"Boulder, CO"
Research Engineer: UI / Frontend Developer,"Advanced Technology Solutions, Inc","Boulder, CO 80301"
Senior Structural Engineer - Electronics (662505),Ball Aerospace,"Boulder, CO"
Engineer I-Electrical System Integration & Test (663878),Ball Aerospace,"Boulder, CO"
Engineer II-System Allocation & Verification (663538) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Senior Engineer-Thermal (663471) Security Clearance Required,Ball Aerospace,"Boulder, CO"
Principal Engineer - Space Systems (662797) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
"Engineer II-Guidance, Navigation & Control (GN C ) - Security Clearance Required (663366)",Ball Aerospace,"Boulder, CO"
Project Engineer I - Systems Integration & Test (661529) - Security clearance required,Ball Aerospace,"Boulder, CO"
Principal Engineer-Space Vehicle Lead (664058) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Spacecraft Systems Senior Engineer (662923) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Embedded Software Engineer (663660) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Principal Optical Engineer (663219) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
"Engineer II-Materials & Processes Development Lab, Thermal Analysis Engineer (663328)",Ball Aerospace,"Boulder, CO"
Senior Electrical Project Engineer (663157),Ball Aerospace,"Boulder, CO"
Principal Engineer-Systems Test (662774) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Engineer-Spacecraft Lead (664005) - Security Clearance Required,Ball Aerospace,"Boulder, CO"
Senior Ground Systems Engineer (661989) - Security clearance required,Ball Aerospace,"Boulder, CO"
Spacecraft Communications Subsystem Principal Engineer (663472) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Engineer-System Allocation & Verification (663036) - Security clearance required,Ball Aerospace,"Boulder, CO"
Telecom System Principal Engineer (664008) - Security clearance required,Ball Aerospace,"Boulder, CO"
Senior Structural Engineer (663565) Security Clearance Required,Ball Aerospace,"Boulder, CO"
Principal Satellite Ground Systems Engineer (663858) - Security clearance required,Ball Aerospace,"Boulder, CO"
Robotics and Automation – Research Analyst,Lux Research Inc,"Boston, MA"
Field Application Scientist - Boston,10x Genomics,"Boston, MA"
Associate Research Analyst,Harvard Pilgrim Health Care,"Boston, MA"
Senior Scientist/Data Analytics/Applied PRO,Pharmerit International,"Boston, MA"
Data Engineer (Boston),QuantumBlack,"Boston, MA"
Commercial Real Estate Research Analyst,"Joseph J. Blake & Associates, Inc.","Boston, MA"
Associate Principal Scientist - Neuroscience (Boston),Merck,"Boston, MA"
Data Engineer,Partners HealthCare(PHS),"Boston, MA"
"Data Scientist, Artificial Intelligence Engineer",Darwin Recruitment,"Boston, MA"
Principal Data Scientist - QuantumBlack,McKinsey & Company,"Boston, MA"
Tax Services Senior Analyst – National Tax – Fiduciary Trust Tax Services – Research & Technical Writing - Boston,EY,"Boston, MA"
Senior OR Lead Software Engineer (ML / API),Resource Technology Partners,"Boston, MA"
Senior Software Engineer AND/OR Lead Software Engineer (Data / API),Resource Technology Partners,"Boston, MA"
Senior Data Scientist,MARC USA LLC,"Boston, MA 02129"
Converse Lead Data Scientist,Nike,"Boston, MA"
"Senior Data Scientist, Product Performance Analytics",Wayfair,"Boston, MA 02116"
Senior Data Scientist,Tessella,"Boston, MA"
Lead Data Scientist,Bose,"Boston, MA"
Research Analyst,MFS Investment Management,"Boston, MA"
Private Equity Research Analyst,Citi,"Boston, MA 02298"
Environmental Analyst I - Regulatory and Translational Scientist,Commonwealth of Massachusetts,"Boston, MA"
Computer Analyst,Howard Hughes Medical Institute,"Boston, MA"
Research Data Management Analyst,Harvard University,"Boston, MA"
Data Analyst II - Research - Kenmore,Atrius Health,"Boston, MA"
Data Scientist,Thomson Reuters,"Boston, MA 02210"
"Data Scientist, Farm Data Science",Indigo,"Boston, MA"
Computational Geometry Scientist,General Electric,"Boston, MA 02212"
Senior Data Scientist,Darwin Recruitment,"Boston, MA"
"Senior Analyst, Data and Analysis",DigitasLBi,"Boston, MA"
Research Analyst,Harvard Pilgrim Health Care,"Boston, MA"
Data Engineer,Cervello Inc,"Boston, MA 02210"
"Analyst, Research - Managed Volatility",Acadian Asset,"Boston, MA"
Senior Data Scientist,Workbridge Associates,"Boston, MA"
Python Engineer,"Crop One Holdings, Inc.","Boston, MA"
Data Engineer,Vertex Pharmaceuticals,"Boston, MA 02110"
Data Engineer,Vertex,"Boston, MA 02114"
Municipal Bond Research Analyst,John Hancock,"Boston, MA"
Research Scientist - Natural Language Processing,Amazon.com,"Boston, MA"
Municipal Bond Research Analyst,Manulife,"Boston, MA 02212"
Wells Fargo Securities - Equity Research Associate Analyst - Restaurants,Wells Fargo,"Boston, MA"
"Data Scientist, Investment Research",Locke Careers,"Boston, MA"
Backend Engineer,TrueMotion,"Boston, MA"
Machine Learning Scientist,Partners HealthCare(PHS),"Boston, MA"
Machine Learning Engineer,Pluralsight,"Boston, MA"
Municipal Bond Research Analyst,Manulife Financial,"Boston, MA"
Machine Learning Engineer,Klaviyo,"Boston, MA"
Senior Machine Learning Scientist,MGH & BWH Center for Clinical Data Science,"Boston, MA"
Sr Scientist,Dana-Farber Cancer Institute,"Boston, MA"
Data Engineer,Manulife Financial,"Boston, MA"
"Data Scientist, Natural Language processing",Darwin Recruitment,"Boston, MA"
Machine Learning Engineer,Soroco,"Boston, MA"
Data Software Engineer,Celect,"Boston, MA 02111"
Data Scientist or Senior Data Scientist - Finance Advanced Analytics,Liberty Mutual,"Boston, MA"
"Operations Analyst, Product Performance Analytics",Wayfair,"Boston, MA 02116"
Senior Data Scientist,"Lynx, Inc.","Boston, MA"
Machine Learning Engineer,Spotify,"Boston, MA"
Operations Research Scientist,Wayfair,"Boston, MA 02116"
Solution Engineer,TetraScience,"Boston, MA"
Machine Learning/NLP Engineer,Zylotech,"Boston, MA"
"Research Analyst, Research",Initiative for a Competitive Inner City (ICIC),"Boston, MA"
Client Quantitative Analyst II,Bank of America,"Boston, MA 02110"
Machine Learning Engineer,Data+Math,"Boston, MA 02210"
Data Engineer,Manulife,"Boston, MA 02212"
IT Big Data Engineer,UnitedHealth Group,"Boston, MA 02298"
Research and Operations Analyst,"Choate, Hall & Stewart LLP","Boston, MA 02110"
Scientist - Assay Development,Ginkgo Bioworks,"Boston, MA"
Motion Planning Research Scientist,Aptiv,"Boston, MA"
Data Engineer,John Hancock,"Boston, MA"
Software Engineer - Machine Learning,Lightmatter,"Boston, MA"
Research Scientist Parallel Medicinal Chemistry,Vertex Pharmaceuticals,"Boston, MA 02110"
Market Research Analyst,"Jenzabar, Inc","Boston, MA 02199"
"Fundamental Research Analyst, Strategic Advisers, LLC",Fidelity Investments,"Boston, MA"
Machine Learning Engineer,Burst Inc.,"Boston, MA 02110"
"Scientist, Pharmacology",PureTech Health,"Boston, MA"
"Analyst, Forecasting & Capacity Modeling",Wayfair,"Boston, MA 02116"
"Scientist Biology, Metabolic Complications, Cardiovascular & Metabolism Discovery (1 of 2)",Johnson & Johnson Family of Companies,"Boston, MA"
"Research Scientist - Amazon Web Services - Boston, MA",Amazon.com,"Boston, MA"
Securitized Research Analyst,BNY Mellon,"Boston, MA"
Research Scientist Functional Genomics,Vertex Pharmaceuticals,"Boston, MA 02110"
Machine Learning Engineer,Twitter,"Boston, MA"
"CoE Lead, Data Science and Engineering",XL Catlin,"Boston, MA"
Research Scientist Functional Genomics,Vertex,"Boston, MA 02114"
Data Ingestion Engineer - Data Modeler,MassMutual,"Boston, MA 02298"
Research Scientist Parallel Medicinal Chemistry,Vertex,"Boston, MA 02114"
Software Engineer,Schireson,"Boston, MA"
"Associate Director, Lead Data Scientist",S&P Global Ratings,"Boston, MA 02110"
Primary Research Scientist,Legendary Applied Analytics,"Boston, MA"
Associate Scientist,Cugene Inc,"Boston, MA"
Research Analyst III,Commonwealth of Massachusetts,"Boston, MA"
Analytics Backend Engineer,TrueMotion,"Boston, MA"
Senior Data Scientist / Python Developer,WinterWyman,"Boston, MA 02111"
Market Research and Sales Analyst,Year Up,"Boston, MA"
"Principal Scientist, AAV Vector Biology",Exonics Therapeutics,"Boston, MA"
Field Application Scientist (Pre-Sales),"Accelrys, Inc.","Boston, MA"
"VP of Engineering - Boston, MA",Tremor,"Boston, MA"
"Scientist II, Cyber",AIR Worldwide,"Boston, MA 02116"
"Scientist, Seismology",AIR Worldwide,"Boston, MA 02116"
Engineer- Pricing & Profitability Algorithms,Wayfair,"Boston, MA 02116"
Research Scientist,Vertex,"Boston, MA 02114"
Language Engineer,Amazon.com,"Boston, MA"
Path and Motion Planning Scientist,General Electric,"Boston, MA 02212"
Research Scientist,Vertex Pharmaceuticals,"Boston, MA 02110"
Senior Scientist/Chart Review,Pharmerit International,"Boston, MA"
Business Analyst / Data SME - Alexa Data Services,Amazon.com,"Boston, MA"
Corporate Credit Research Analyst,BNY Mellon,"Boston, MA"
Test Engineer,Invicro,"Boston, MA 02210"
Clinical Research Scientist,Etiometry,"Boston, MA 02134"
Healthcare Data Scientist,Micro Tech Staffing Group,"Boston, MA"
"Sales Engineer, Financial Crimes",Quantifind,"Boston, MA"
Competitive Intelligence Analyst/Senior Analyst,Wayfair,"Boston, MA 02116"
Natural Language Processing Scientist,Harnham,"Boston, MA"
Bioinformatics Analyst I - Cancer Genomics,Dana-Farber Cancer Institute,"Boston, MA"
Imaging Scientist I - Nuclear Medicine,Invicro,"Boston, MA 02210"
Research Scientist Discovery Biology,Vertex Pharmaceuticals,"Boston, MA 02110"
Research Scientist Discovery Biology,Vertex,"Boston, MA 02114"
Temporary Research Scientist I,Vertex Pharmaceuticals,"Boston, MA 02110"
Secured Lending Client Quantitative Senior Analyst,Bank of America,"Boston, MA 02110"
Scientist - In Vivo Pharmacology,Commonwealth Sciences,"Boston, MA"
Senior Scientist Chemical and Materials Engineering,Vertex Pharmaceuticals,"Boston, MA 02110"
Senior Marketing Analyst/Market Research Project Lead,Cabot Corporation,"Boston, MA 02210"
Electronic Systems Engineer - Space Exploration & Robotics,Edelman & Associates,"Boston, MA"
"Senior Software Engineer, Machine Learning in E-Commerce",Workbridge Associates,"Boston, MA"
